id,char
守,守
邱,邱
手,手
更,更
越,越
鵲,鵲
佯,伴
詬,詬
杳,杏
現,現
處,慮
溜,淮
沖,沖
不,不
禽,禽
漱,漱
酩,酪
閏,閔
胱,胚
俞,俞
烏,烏
墾,墾
東,束
魁,燧
曠,曠
訣,訣
呢,呢
呷,呷
盍,盍
徒,徒
見,見
佣,掬
烹,蒸
儐,儐
栩,栩
璩,璩
放,放
錢,錢
菽,菽
霪,霆
佐,佐
嗆,嗆
硬,硬
萃,萃
獐,獐
冰,冰
鎂,鎂
婁,婁
嘎,噢
修,修
簑,簑
醃,醃
喉,喉
呻,啼
瘠,瘠
閒,間
蚱,蚱
煤,煤
咳,咳
并,弄
瘁,瘁
酥,酥
葬,茸
霞,霞
裝,裝
嚕,嚕
訓,訓
抨,抨
孜,托
耕,耕
牢,牢
篁,篁
遑,遑
辟,辟
燥,燥
隕,商
尖,尖
遽,遽
盜,盜
盆,盆
妄,妄
剩,剩
辱,辱
奧,奧
盍,盍
慍,慍
鱷,鱷
裕,裕
肆,肆
永,永
盈,盈
肓,肓
支,支
設,設
灸,灸
琪,琪
式,式
茄,茄
掘,掘
隋,隋
嫌,嫌
庇,庇
畸,畸
棠,棠
憶,憶
模,模
率,牽
幼,幼
媛,媛
苗,苗
紹,紹
搞,搞
螂,螂
純,紙
泡,治
篇,篇
預,預
姓,錶
編,編
捂,捂
蠱,蠱
械,械
唆,唆
從,從
唬,唬
戢,戢
雋,雋
山,山
塔,塔
緣,孩
胎,胎
哲,彗
獄,獄
喀,喀
鹿,鹿
拙,拙
寵,寵
誅,誅
卮,卮
宵,宵
悼,悼
紋,紋
鴕,鴕
頷,鉑
抿,抿
無,無
萎,姜
考,考
摺,摺
萌,荊
殲,殲
台,台
敲,敲
燄,燄
徹,徹
飲,飲
筏,筏
諺,諺
罕,罕
噱,噱
離,離
懾,懾
璋,璋
颼,颼
簇,核
兜,吧
乏,乏
洽,洽
耆,耆
舉,舉
辜,辜
蒙,袁
宴,宴
示,示
孀,孀
彬,彬
渥,渥
耀,耀
笙,笙
乏,乏
彗,彗
掄,掄
休,休
箱,翁
貞,貞
戒,戒
蘿,蘿
叢,叢
灣,智
嘹,嘹
堂,堂
鈕,鈕
確,確
句,句
刻,勃
起,起
豔,豔
尺,又
鞣,奘
梆,梆
苗,苗
銷,銷
桂,桂
等,等
賊,賊
抉,抉
殿,殿
猶,猶
其,其
堯,堯
崎,崎
疽,疽
疇,疇
囊,責
斂,斂
敘,敘
戍,戍
棲,棲
癘,癘
瓢,瓢
卑,牟
譬,譬
鰱,鰱
瘦,瘦
他,他
賣,賣
蘇,蘇
浪,決
海,海
督,苜
鬢,鬢
注,注
撮,撮
柱,柱
介,介
槓,槓
聚,聚
蜓,蜓
高,高
孚,孚
赭,槍
詫,詫
沿,沿
嗣,嗣
倔,倔
憑,憑
古,百
蝦,蝦
插,插
蜜,寓
衫,衫
瞥,瞥
苛,苛
樟,樟
寒,寒
箭,箭
蔚,蔚
賭,路
責,責
包,包
詢,詢
恬,恬
由,由
庖,庖
碌,碌
聾,聾
腑,腑
溘,溘
諱,譚
餃,餃
鴦,鴦
陪,陪
冗,冗
膊,膊
榔,梆
各,吾
髏,髏
詞,詞
躡,磺
摘,捕
炎,炎
雷,雷
姿,娑
構,構
協,抿
噹,噹
扣,扣
擰,擰
窮,窮
陽,陵
章,幸
弔,弔
捻,捻
終,終
惰,惰
蝦,蝦
惚,惚
凝,浚
麾,楚
鍬,鍬
阻,阻
疽,疳
茅,茅
堵,堵
帝,常
薔,薔
膏,膏
祿,祿
檻,襤
糾,糾
澧,澧
所,所
胸,胸
褻,褻
化,化
尼,尼
壙,壙
皓,咯
狩,狩
慕,慕
穩,穩
掣,掣
損,損
兮,貪
逅,逅
鑄,鑄
聱,茸
際,陝
掌,手
炎,炎
孽,孽
癢,癢
喋,喋
韃,韃
吭,赤
灶,灶
犄,符
懷,懷
叱,叱
去,去
穴,穴
沮,沮
沅,沅
娥,娥
戾,戾
旎,旎
踫,踫
還,還
秦,荼
禮,禮
入,入
屹,屹
貿,貿
抖,抖
巍,巍
仙,仙
否,否
莢,莢
脾,脾
半,半
澎,澎
珠,珮
細,細
樣,燉
婿,婿
侃,侃
城,城
廣,廣
目,目
丑,丑
漩,漩
巷,巷
濛,濛
靛,靛
闖,闖
捶,捶
瀰,瀰
樅,樅
卒,卒
佳,佐
距,距
萼,萼
蕉,蕉
業,業
卜,卜
晒,晒
歪,秀
騾,駛
匱,匱
併,併
豚,豚
訴,訴
恬,恬
渙,採
埤,埤
砌,砸
幸,幸
耳,耳
榨,榨
抽,抽
噸,噸
繞,綾
井,串
霖,霧
鑰,鑰
窘,寞
跆,路
旖,旖
地,地
蝠,蝠
沽,沽
漏,漏
