U+4E01		丁	⿱一亅
U+4E03		七	七
U+4E08		丈	丈
U+4E09		三	⿱一二
U+4E0A		上	⿱⺊一
U+4E0B		下	⿱一卜
U+4E0D		不	不
U+4E10		丐	丐
U+4E11		丑	丑
U+4E14		且	且
U+4E15		丕	⿱不一
U+4E16		世	世
U+4E18		丘	丘
U+4E19		丙	⿱一内
U+4E1E		丞	⿱氶一
U+4E1F		丟	⿱王厶
U+4E26		並	⿱䒑业
U+4E2B		丫	⿱丷丨
U+4E2D		中	中
U+4E32		串	串
U+4E38		丸	⿵九丶
U+4E39		丹	丹
U+4E3B		主	⿱亠土
U+4E43		乃	⿹𠄎丿
U+4E45		久	久
U+4E48		么	⿱丿厶
U+4E4B		之	之
U+4E4D		乍	乍
U+4E4E		乎	乎
U+4E4F		乏	⿱丿之
U+4E52		乒	⿱丘丿
U+4E53		乓	⿱丘丶
U+4E56		乖	乖
U+4E58		乘	乘
U+4E59		乙	乙
U+4E5D		九	九
U+4E5E		乞	⿱𠂉乙
U+4E5F		也	也
U+4E69		乩	⿰占乚
U+4E73		乳	⿰孚乚
U+4E7E		乾	⿰𠦝乞
U+4E82		亂	⿰𤔔乚
U+4E86		了	⿱乛亅
U+4E88		予	⿱龴𠄐
U+4E8B		事	事
U+4E8C		二	⿱一一
U+4E8E		于	于
U+4E91		云	⿱二厶
U+4E92		互	⿱一彑
U+4E94		五	⿱一𫝀
U+4E95		井	井
U+4E99		亙	亙
U+4E9B		些	⿱此二
U+4E9E		亞	亞
U+4E9F		亟	亟
U+4EA1		亡	⿱亠𠃊
U+4EA4		交	⿱亠父
U+4EA5		亥	⿳亠𠂈人
U+4EA6		亦	亦
U+4EA8		亨	⿳亠口了
U+4EAB		享	⿳亠口子
U+4EAC		京	⿳亠口小
U+4EAD		亭	⿱⿳亠口冖丁
U+4EAE		亮	⿱⿳亠口冖几
U+4EBA		人	人
U+4EC0		什	⿰亻十
U+4EC1		仁	⿰亻二
U+4EC3		仃	⿰亻丁
U+4EC4		仄	⿸厂人
U+4EC6		仆	⿰亻卜
U+4EC7		仇	⿰亻九
U+4ECA		今	⿱亽㇇
U+4ECB		介	⿱人⿰丿丨
U+4ECD		仍	⿰亻乃
